('titanic_example', 'learn2clean', 'CART', 'Survived', None, 'LOF -> CART', 'accuracy', 0.7235772357723578, 234.34766507148743)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'ED -> NB', 'accuracy', 0.709698025551684, 3.6444311141967773)
('titanic_example', 'random', 'CART', 'Survived', None, 'EM -> DS -> WR -> IQR -> CART', 'accuracy', ({'quality_metric': 0.7160049937578027}, 21.100697994232178))
('titanic_example', 'random', 'LDA', 'Survived', None, 'KNN -> MF -> Tree -> ZSB -> LDA', 'accuracy', ({'quality_metric': 0.6368631368631368}, 1.597931146621704))
('titanic_example', 'random', 'NB', 'Survived', None, 'EM -> ZS -> MR -> LOF -> NB', 'accuracy', ({'quality_metric': 0.669452804377565}, 0.35970115661621094))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 22.177549123764038))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.027875900268554688))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.04605913162231445))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'LOF -> CART', 'accuracy', 0.7204166666666667, 429.05306792259216)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'IQR -> LDA', 'accuracy', 0.7181802944740981, 3.823482036590576)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'IQR -> NB', 'accuracy', 0.6897077922077922, 4.413476943969727)
('titanic_example', 'random', 'CART', 'Survived', None, 'MICE -> ZS -> MR -> LOF -> ED -> CART', 'accuracy', ({'quality_metric': 0.7264158686730506}, 26.715086936950684))
('titanic_example', 'random', 'LDA', 'Survived', None, 'KNN -> MF -> LC -> LOF -> ED -> LDA', 'accuracy', ({'quality_metric': None}, 1.6381943225860596))
('titanic_example', 'random', 'NB', 'Survived', None, 'DS -> Tree -> IQR -> NB', 'accuracy', ({'quality_metric': 0.6711854460093897}, 0.12115621566772461))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 24.28753089904785))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.043166160583496094))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.06252074241638184))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'EM -> AD -> ZSB -> CART', 'accuracy', 0.7310196078431372, 373.67636489868164)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'IQR -> LDA', 'accuracy', 0.7181802944740981, 4.0824971199035645)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'WR -> IQR -> NB', 'accuracy', 0.6929197994987468, 3.504404067993164)
('titanic_example', 'random', 'CART', 'Survived', None, 'KNN -> MF -> LC -> LOF -> ED -> CART', 'accuracy', ({'quality_metric': None}, 1.4357922077178955))
('titanic_example', 'random', 'LDA', 'Survived', None, 'MM -> MR -> ED -> LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.07662606239318848))
('titanic_example', 'random', 'NB', 'Survived', None, 'EM -> MM -> NB', 'accuracy', ({'quality_metric': 0.6780024968789015}, 0.29077887535095215))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 20.703349113464355))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.02719902992248535))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.04601693153381348))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'EM -> AD -> ZSB -> CART', 'accuracy', 0.7267450980392157, 402.5581588745117)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'ED -> MF -> LDA', 'accuracy', 0.7415417694302157, 4.066690921783447)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'ZS -> LOF -> LC -> ZSB -> NB', 'accuracy', 0.7104395604395605, 3.8710858821868896)
('titanic_example', 'random', 'CART', 'Survived', None, 'EM -> ZS -> IQR -> CART', 'accuracy', ({'quality_metric': 0.6872716894977169}, 20.698510885238647))
('titanic_example', 'random', 'LDA', 'Survived', None, 'MICE -> DS -> LC -> IQR -> ED -> LDA', 'accuracy', ({'quality_metric': 0.6655338338287902}, 0.28374195098876953))
('titanic_example', 'random', 'NB', 'Survived', None, 'MF -> MR -> IQR -> NB', 'accuracy', ({'quality_metric': 0.7}, 0.16157197952270508))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 21.644917726516724))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.028927087783813477))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.04786109924316406))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'EM -> DS -> ED -> MF -> CART', 'accuracy', 0.7216354556803994, 440.0673589706421)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'IQR -> LDA', 'accuracy', 0.7181802944740981, 4.153897047042847)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'IQR -> NB', 'accuracy', 0.6897077922077922, 4.196573972702026)
('titanic_example', 'random', 'CART', 'Survived', None, 'KNN -> LOF -> CART', 'accuracy', ({'quality_metric': 0.7285714285714285}, 18.14228916168213))
('titanic_example', 'random', 'LDA', 'Survived', None, 'EM -> MM -> LC -> IQR -> LDA', 'accuracy', ({'quality_metric': 0.6573033707865168}, 0.2844228744506836))
('titanic_example', 'random', 'NB', 'Survived', None, 'MICE -> WR -> NB', 'accuracy', ({'quality_metric': 0.6757553058676654}, 0.24056601524353027))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 20.653409957885742))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.026443004608154297))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.04615211486816406))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'LOF -> CART', 'accuracy', 0.7204166666666667, 350.4139041900635)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'ED -> MM -> IQR -> LDA', 'accuracy', 0.7312157028281976, 3.4722859859466553)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'WR -> LOF -> LC -> ZSB -> NB', 'accuracy', 0.7038961038961039, 3.621587038040161)
('titanic_example', 'random', 'CART', 'Survived', None, 'MICE -> MF -> MR -> ZSB -> CART', 'accuracy', ({'quality_metric': 0.7424313725490196}, 20.329930305480957))
('titanic_example', 'random', 'LDA', 'Survived', None, 'KNN -> MM -> MR -> IQR -> ED -> LDA', 'accuracy', ({'quality_metric': 0.6135321100917431}, 1.5679290294647217))
('titanic_example', 'random', 'NB', 'Survived', None, 'KNN -> WR -> IQR -> NB', 'accuracy', ({'quality_metric': 0.6020898641588296}, 1.5168309211730957))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 23.59933590888977))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.02883315086364746))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.0473330020904541))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'MICE -> ZSB -> CART', 'accuracy', 0.7424313725490196, 375.26109504699707)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'EM -> AD -> ZSB -> LDA', 'accuracy', 0.739827466594275, 3.6847832202911377)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'CC -> AD -> ZSB -> NB', 'accuracy', 0.709698025551684, 4.233827829360962)
('titanic_example', 'random', 'CART', 'Survived', None, 'MICE -> ZS -> MR -> ZSB -> ED -> CART', 'accuracy', ({'quality_metric': 0.7424313725490196}, 25.11069893836975))
('titanic_example', 'random', 'LDA', 'Survived', None, 'MICE -> DS -> LC -> LDA', 'accuracy', ({'quality_metric': 0.6655338338287902}, 0.25408005714416504))
('titanic_example', 'random', 'NB', 'Survived', None, 'MF -> LC -> LOF -> ED -> NB', 'accuracy', ({'quality_metric': 0.6574445335471799}, 0.16139602661132812))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 22.861366033554077))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.030112028121948242))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.048525094985961914))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'LOF -> CART', 'accuracy', 0.7204166666666667, 558.4091928005219)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'ED -> LDA', 'accuracy', 0.7281368821292775, 4.972074031829834)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'WR -> IQR -> NB', 'accuracy', 0.6929197994987468, 5.1294238567352295)
('titanic_example', 'random', 'CART', 'Survived', None, 'KNN -> MM -> MR -> LOF -> CART', 'accuracy', ({'quality_metric': 0.6250752393980847}, 32.68178415298462))
('titanic_example', 'random', 'LDA', 'Survived', None, 'EM -> MM -> WR -> IQR -> LDA', 'accuracy', ({'quality_metric': 0.6943820224719102}, 0.48412299156188965))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'LOF -> LC -> ZSB -> CART', 'accuracy', 0.7208791208791209, 460.6860861778259)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'EM -> Tree -> IQR -> LDA', 'accuracy', 0.719718309859155, 4.893656253814697)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'WR -> IQR -> NB', 'accuracy', 0.6929197994987468, 4.792510032653809)
('titanic_example', 'random', 'CART', 'Survived', None, 'KNN -> MM -> Tree -> ZSB -> CART', 'accuracy', ({'quality_metric': 0.6259132420091323}, 25.604907035827637))
('titanic_example', 'random', 'LDA', 'Survived', None, 'MICE -> MF -> MR -> IQR -> LDA', 'accuracy', ({'quality_metric': 0.7093373493975903}, 0.41503405570983887))
('titanic_example', 'random', 'NB', 'Survived', None, 'MICE -> ZS -> MR -> LOF -> NB', 'accuracy', ({'quality_metric': 0.6752941176470588}, 0.3152658939361572))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 23.22953486442566))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.03096914291381836))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.050295114517211914))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'LOF -> ED -> CART', 'accuracy', 0.7204166666666667, 688.248791217804)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'IQR -> LDA', 'accuracy', 0.7181802944740981, 6.974050045013428)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'EM -> AD -> ZSB -> NB', 'accuracy', 0.7098039215686275, 6.635358810424805)
('titanic_example', 'random', 'CART', 'Survived', None, 'MICE -> ED -> CART', 'accuracy', ({'quality_metric': 0.7048439450686642}, 34.28528904914856))
('titanic_example', 'random', 'LDA', 'Survived', None, 'EM -> MF -> ED -> LDA', 'accuracy', ({'quality_metric': 0.6958507583010027}, 0.8704149723052979))
('titanic_example', 'random', 'NB', 'Survived', None, 'KNN -> MM -> Tree -> NB', 'accuracy', ({'quality_metric': 0.5926466916354556}, 2.917250871658325))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 31.517740964889526))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.055168867111206055))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.09983682632446289))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'EM -> AD -> ZSB -> CART', 'accuracy', 0.7317119155354449, 585.0034718513489)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'IQR -> LDA', 'accuracy', 0.7181802944740981, 4.794162750244141)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'Tree -> IQR -> NB', 'accuracy', 0.6897077922077922, 5.023385763168335)
('titanic_example', 'random', 'CART', 'Survived', None, 'MICE -> MM -> MR -> IQR -> CART', 'accuracy', ({'quality_metric': 0.7168539325842695}, 28.72754693031311))
('titanic_example', 'random', 'LDA', 'Survived', None, 'MICE -> MF -> LC -> LDA', 'accuracy', ({'quality_metric': 0.64646042223006}, 0.38488292694091797))
('titanic_example', 'random', 'NB', 'Survived', None, 'MICE -> MM -> NB', 'accuracy', ({'quality_metric': 0.6757553058676654}, 0.472470760345459))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 30.76598310470581))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.04590320587158203))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.07996892929077148))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'MICE -> ZSB -> CART', 'accuracy', 0.7424313725490196, 632.9366059303284)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'IQR -> LDA', 'accuracy', 0.7181802944740981, 7.579261064529419)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'CC -> AD -> ZSB -> NB', 'accuracy', 0.709698025551684, 7.365930080413818)
('titanic_example', 'random', 'CART', 'Survived', None, 'MICE -> MM -> CART', 'accuracy', ({'quality_metric': 0.7048439450686642}, 31.716389894485474))
('titanic_example', 'random', 'LDA', 'Survived', None, 'EM -> MF -> Tree -> IQR -> LDA', 'accuracy', ({'quality_metric': 0.7138770433546553}, 0.46863293647766113))
('titanic_example', 'random', 'NB', 'Survived', None, 'MICE -> ZS -> Tree -> ZSB -> NB', 'accuracy', ({'quality_metric': 0.7033333333333334}, 0.5334620475769043))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 35.5338089466095))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.0675361156463623))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.0996859073638916))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'LOF -> CART', 'accuracy', 0.7204166666666667, 387.64822220802307)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'Tree -> IQR -> LDA', 'accuracy', 0.7181802944740981, 4.87967586517334)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'ED -> NB', 'accuracy', 0.709698025551684, 4.407037973403931)
('titanic_example', 'random', 'CART', 'Survived', None, 'KNN -> WR -> LOF -> CART', 'accuracy', ({'quality_metric': 0.6215595075239398}, 22.58228874206543))
('titanic_example', 'random', 'LDA', 'Survived', None, 'MICE -> WR -> ZSB -> LDA', 'accuracy', ({'quality_metric': 0.7070907235912729}, 0.2398221492767334))
('titanic_example', 'random', 'NB', 'Survived', None, 'MF -> Tree -> IQR -> ED -> NB', 'accuracy', ({'quality_metric': 0.7}, 0.1523609161376953))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 22.005553007125854))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.027333974838256836))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.04744696617126465))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'EM -> Tree -> ZSB -> CART', 'accuracy', 0.7207058823529411, 341.7173318862915)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'IQR -> LDA', 'accuracy', 0.7181802944740981, 3.8252899646759033)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'WR -> IQR -> NB', 'accuracy', 0.6929197994987468, 3.764207124710083)
('titanic_example', 'random', 'CART', 'Survived', None, 'MICE -> MF -> LOF -> CART', 'accuracy', ({'quality_metric': 0.6921545041432772}, 20.618474006652832))
('titanic_example', 'random', 'LDA', 'Survived', None, 'EM -> Tree -> ZSB -> LDA', 'accuracy', ({'quality_metric': 0.7417277471118753}, 0.26642274856567383))
('titanic_example', 'random', 'NB', 'Survived', None, 'KNN -> ZSB -> ED -> NB', 'accuracy', ({'quality_metric': 0.6286529680365296}, 1.3954401016235352))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 20.7512149810791))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.028177261352539062))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.046237945556640625))
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'EM -> ZSB -> NB', 'accuracy', 0.7101960784313726, 5.208404064178467)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'IQR -> NB', 'accuracy', 0.6897077922077922, 4.280251979827881)
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'LOF -> CART', 'accuracy', 0.7204166666666667, 416.42964816093445)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'WR -> IQR -> LDA', 'accuracy', 0.7246725221473461, 4.134553909301758)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'Tree -> IQR -> NB', 'accuracy', 0.6897077922077922, 4.358573913574219)
('titanic_example', 'random', 'CART', 'Survived', None, 'ZS -> LOF -> ED -> CART', 'accuracy', ({'quality_metric': 0.6879166666666666}, 20.58819079399109))
('titanic_example', 'random', 'LDA', 'Survived', None, 'MICE -> Tree -> LOF -> LDA', 'accuracy', ({'quality_metric': 0.6511627906976745}, 0.33295512199401855))
('titanic_example', 'random', 'NB', 'Survived', None, 'KNN -> MM -> LC -> ZSB -> ED -> NB', 'accuracy', ({'quality_metric': None}, 1.6519579887390137))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 26.900849103927612))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.027446985244750977))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.04724597930908203))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'ZSB -> CART', 'accuracy', 0.7123693379790941, 425.2409420013428)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'IQR -> LDA', 'accuracy', 0.7181802944740981, 3.480891227722168)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'Tree -> IQR -> NB', 'accuracy', 0.6897077922077922, 3.587937831878662)
('titanic_example', 'random', 'CART', 'Survived', None, 'EM -> DS -> WR -> ZSB -> CART', 'accuracy', ({'quality_metric': 0.7229646697388633}, 19.483459949493408))
('titanic_example', 'random', 'LDA', 'Survived', None, 'MICE -> WR -> IQR -> LDA', 'accuracy', ({'quality_metric': 0.6951929558476575}, 0.23210406303405762))
('titanic_example', 'random', 'NB', 'Survived', None, 'KNN -> DS -> WR -> LOF -> NB', 'accuracy', ({'quality_metric': 0.5947072975140337}, 1.3716239929199219))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 23.627182960510254))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.02795124053955078))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.046392202377319336))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'LOF -> CART', 'accuracy', 0.7204166666666667, 405.80156421661377)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'Tree -> IQR -> LDA', 'accuracy', 0.7181802944740981, 3.1688809394836426)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'EM -> Tree -> ZSB -> NB', 'accuracy', 0.690035118525022, 4.0616819858551025)
('titanic_example', 'random', 'CART', 'Survived', None, 'EM -> ZS -> ZSB -> ED -> CART', 'accuracy', ({'quality_metric': 0.7128205128205128}, 18.782552003860474))
('titanic_example', 'random', 'LDA', 'Survived', None, 'KNN -> DS -> Tree -> LOF -> ED -> LDA', 'accuracy', ({'quality_metric': 0.7142857142857142}, 1.379883050918579))
('titanic_example', 'random', 'NB', 'Survived', None, 'EM -> MF -> WR -> ZSB -> NB', 'accuracy', ({'quality_metric': 0.7037337662337663}, 0.33697509765625))
('titanic_example', 'no-prep', 'CART', 'Survived', None, 'CART', 'accuracy', ({'quality_metric': 0.7017410015649452}, 20.468411207199097))
('titanic_example', 'no-prep', 'LDA', 'Survived', None, 'LDA', 'accuracy', ({'quality_metric': 0.7058823529411764}, 0.028115034103393555))
('titanic_example', 'no-prep', 'NB', 'Survived', None, 'NB', 'accuracy', ({'quality_metric': 0.6682511737089201}, 0.04539322853088379))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'LOF -> LC -> ZSB -> CART', 'accuracy', 0.728021978021978, 4615.197240114212)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'CC -> AD -> IQR -> LDA', 'accuracy', 0.7281368821292775, 3.921393871307373)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'Tree -> IQR -> NB', 'accuracy', 0.6897077922077922, 3.7444779872894287)
('titanic_example', 'random', 'CART', 'Survived', None, 'MICE -> MF -> WR -> LOF -> ED -> CART', 'accuracy', ({'quality_metric': 0.696966051857792}, 20.315105676651))
('titanic_example', 'doublelearn2clean', 'CART', 'Survived', None, 'LOF -> CART', 'accuracy', 0.8144268774703557, 387.1677610874176)
('titanic_example', 'doublelearn2clean', 'LDA', 'Survived', None, 'CC -> IQR -> LDA', 'accuracy', 0.7857142857142857, 4.595157861709595)
('titanic_example', 'doublelearn2clean', 'NB', 'Survived', None, 'CC -> AD -> ZSB -> NB', 'accuracy', 0.7909090909090909, 5.32594895362854)
('titanic_example', 'random', 'CART', 'Survived', None, 'MICE -> DS -> IQR -> ED -> CART', 'accuracy', ({'quality_metric': 0.6969787765293384}, 22.7609441280365))
('titanic_example', 'random', 'LDA', 'Survived', None, 'MM -> LC -> IQR -> LDA', 'accuracy', ({'quality_metric': 0.6708384272175376}, 0.10440659523010254))
